name,address,rating
مطعم بيو,4082 طريق الأمير محمد بن عبدالعزيز، العليا، الرياض 12331,4.6
مطعم ليفانتين,"الطريق الدائري الشمالي الفرعي، الغدير، Unit 3369, 3606, الرياض 13311",4.4
Greens Restaurant,"شارع العليا، Akaria Mall, Akaria 3، الرياض",3.9
هونق,The Ritz-Carlton، الهدا، الرياض 12912,4.3
بيف بار,8712 شارع الأمير عبدالعزيز بن مساعد بن جلوي، 4237،، الرياض 12223,4.0
ذا فيو,PM2H+882، العليا، الرياض 11351,4.1
مطعم الحياة,المربع، الرياض 12626,4.0
شرمبشاك,"شارع الأمير عبدالعزيز بن مساعد بن جلوي، As Sulimaniyah السليمانية Prince Abdul Aziz bin Msaed bin Jalawi, الرياض",4.7
دون روبن,"9163 Ain Sreet، السفارات، 3292، الرياض 12523, الرياض 12523",4.3
Kabba,PM6F+9PH، العليا، الرياض 12214,4.6
لوماشو,"Tayma St, السفارات، الرياض 12513",4.2
chennai spice kitchen restaurant,"224Rafi Ibn Al Ali, الملز، الرياض 12831",3.9
فاير جريل,طريق الأمير محمد بن عبدالعزيز، العليا، الرياض 12241,4.2
ماربل,"6182 طريق الامير تركي بن عبدالعزيز الأول ، ام الحمام الشرقي ، الرياض 5867, الرياض 12321",4.3
بيت الذواقة,شارع ابي بكر الرازي، السليمانية، الرياض 12232,4.2
بافلو وايلد وينجز,"Riyadh Park, الطريق الدائري الشمالي الفرعي، العقيق، الرياض 12383",4.2
Rida Family Restaurant,الوزارات، 6330 شارع الشيخ عبدالرحمن بن حسن، حي، الرياض,3.5
هسل ان فلو,طريق الأمير محمد بن سعد بن عبدالعزيز، حطين، الرياض 13512,4.6
